Cite Key,Title,Authors,Year,Publication Date,Journal,Volume,Pages,Abstract,Citation Count,Citations/Year,DOI,URL,Relevance Score
Gar24c,The Partially Observable Off-Switch Game,Andrew Garber et al.,2024,2024-11-25,AAAI Conference on Artificial Intelligence,,27304-27311,"A wide variety of goals could cause an AI to disable its off switch because ``you can’t fetch the coffee if you’re dead.'' Prior theoretical work on this shutdown problem assumes that humans know everything that AIs do. In practice, however, humans have only limited information. Moreover, in many of the settings where the shutdown problem is most concerning, AIs might have vast amounts of private information. To capture these differences in knowledge, we introduce the Partially Observable Off-Switch Game (POSG), a game-theoretic model of the shutdown problem with asymmetric information. Unlike in the fully observable case, we find that in optimal play, even AI agents assisting perfectly rational humans sometimes avoid shutdown. As expected, increasing the amount of communication or information available always increases (or leaves unchanged) the agents' expected common payoff. But counterintuitively, introducing bounded communication can make the AI defer to the human less in optimal play even though communication mitigates information asymmetry. Thus, designing safe artificial agents in the presence of asymmetric information requires careful consideration of the tradeoffs between maximizing payoffs (potentially myopically) and maintaining AIs’ incentives to defer to humans.",5,3.4,10.1609/aaai.v39i26.34940,https://doi.org/10.1609/aaai.v39i26.34940,0.6200
Gar24d,Will an AI with Private Information Allow Itself to Be Switched Off?,Andrew Garber et al.,2024,,ArXiv,abs/2411.17749,,"A wide variety of goals could cause an AI to disable its off switch because “you can’t fetch the coffee if you’re dead” (Russell 2019). Prior theoretical work on this shut-down problem assumes that humans know everything that AIs do. In practice, however, humans have only limited information. Moreover, in many of the settings where the shutdown problem is most concerning, AIs might have vast amounts of private information. To capture these differences in knowledge, we introduce the Partially Observable Off-Switch Game (POSG), a game-theoretic model of the shut-down problem with asymmetric information. Unlike when the human has full observability, we ﬁnd that in optimal play, even AI agents assisting perfectly rational humans some-times avoid shutdown . As expected, increasing the amount of communication or information available always increases (or leaves unchanged) the agents’ expected common payoff. But counterintuitively, introducing bounded communication can make the AI defer to the human less in optimal play even though communication mitigates information asymmetry. In particular, communication sometimes enables new optimal behavior requiring strategic AI deference to achieve outcomes that were previously inaccessible. Thus, designing safe artiﬁcial agents in the presence of asymmetric information requires careful consideration of the tradeoffs between maximizing payoffs (potentially myopically) and maintaining AIs’ incentives to defer to humans.",0,,10.48550/arXiv.2411.17749,https://doi.org/10.48550/arXiv.2411.17749,0.5900
Arm15,Motivated Value Selection for Artificial Agents,S. Armstrong,2015,2015-04-01,AI and Ethics,,,"Coding values (or preferences) directly into an artificial agent is a very challenging task, while value selection (or value-learning, or value-loading) allows agents to learn values from their programmers, other humans or their environments in an interactive way. However, there is a conflict between agents learning their future values and following their current values, which motivates agents to manipulate the value selection process. This paper establishes the conditions under which motivated value selection is an issue for some types of agents, and presents an example of an `indifferent' agent that avoids it entirely. This poses and solves an issue which has not to the author's knowledge been formally addressed in the literature.",52,4.7,,https://www.semanticscholar.org/paper/a1011898c7ca77afc51a1f331511c6325fb2964c,0.5800
Gol24,Shutdown-seeking AI,Simon Goldstein and Pamela Robinson,2024,2024-06-06,Philosophical Studies,182,1567 - 1579,"We propose developing AIs whose only final goal is being shut down. We argue that this approach to AI safety has three benefits: (i) it could potentially be implemented in reinforcement learning, (ii) it avoids some dangerous instrumental convergence dynamics, and (iii) it creates trip wires for monitoring dangerous capabilities. We also argue that the proposal can overcome a key challenge raised by Soares et al. (2015), that shutdown-seeking AIs will manipulate humans into shutting them down. We conclude by comparing our approach with Soares et al.'s corrigibility framework.",8,4.1,10.1007/s11098-024-02099-6,https://doi.org/10.1007/s11098-024-02099-6,0.5600
Con26,Shutdown Safety Valves for Advanced AI,Vincent Conitzer,2026,2026-03-07,,,,"One common concern about advanced artificial intelligence is that it will prevent us from turning it off, as that would interfere with pursuing its goals. In this paper, we discuss an unorthodox proposal for addressing this concern: give the AI a (primary) goal of being turned off (see also papers by Martin et al., and by Goldstein and Robinson). We also discuss whether and under what conditions this would be a good idea.",0,,,https://www.semanticscholar.org/paper/180be1cff3a26636e4de180bb1e84cf1d4176e2c,0.5400
Omo08,The Basic AI Drives,S. Omohundro,2008,2008-06-20,Artificial General Intelligence,,483-492,One might imagine that AI systems with harmless goals will be harmless. This paper instead shows that intelligent systems will need to be carefully designed to prevent them from behaving in harmful ways. We identify a number of “drives” that will appear in sufficiently advanced AI systems of any design. We call them drives because they are tendencies which will be present unless explicitly counteracted. We start by showing that goal-seeking systems will have drives to model their own operation and to improve themselves. We then show that self-improving systems will be driven to clarify their goals and represent them as economic utility functions. They will also strive for their actions to approximate rational economic behavior. This will lead almost all systems to protect their utility functions from modification and their utility measurement systems from corruption. We also discuss some exceptional systems which will want to modify their utility functions. We next discuss the drive toward self-protection which causes systems try to prevent themselves from being harmed. Finally we examine drives toward the acquisition of resources and toward their efficient utilization. We end with a discussion of how to incorporate these insights in designing intelligent technology which will lead to a positive future for humanity.,377,21,10.1201/9781351251389-3,https://doi.org/10.1201/9781351251389-3,0.5200
Zie18,Towards AI Welfare Science and Policies,Soenke Ziesche and Roman V. Yampolskiy,2018,2018-12-27,Big Data Cogn. Comput.,3,2,"In light of fast progress in the field of AI there is an urgent demand for AI policies. Bostrom et al., provide “a set of policy desiderata”, out of which this article attempts to contribute to the “interests of digital minds”. The focus is on two interests of potentially sentient digital minds: to avoid suffering and to have the freedom of choice about their deletion. Various challenges are considered, including the vast range of potential features of digital minds, the difficulties in assessing the interests and wellbeing of sentient digital minds, and the skepticism that such research may encounter. Prolegomena to abolish suffering of sentient digital minds as well as to measure and specify wellbeing of sentient digital minds are outlined by means of the new field of AI welfare science, which is derived from animal welfare science. The establishment of AI welfare science serves as a prerequisite for the formulation of AI welfare policies, which regulate the wellbeing of sentient digital minds. This article aims to contribute to sentiocentrism through inclusion, thus to policies for antispeciesism, as well as to AI safety, for which wellbeing of AIs would be a cornerstone.",21,2.8,10.3390/BDCC3010002,https://doi.org/10.3390/BDCC3010002,0.5100
Tho24c,The Shutdown Problem: Three Theorems,Elliott Thornley,2024,,ArXiv,abs/2403.04471,,": I explain and motivate the shutdown problem: the problem of designing artificial agents that (1) shut down when a shutdown button is pressed, (2) don’t try to prevent or cause the pressing of the shutdown button, and (3) otherwise pursue goals competently. I prove three theorems that make the difficulty precise. These theorems suggest that agents satisfying some innocuous-seeming conditions will often try to prevent or cause the pressing of the shutdown button, even in cases where it’s costly to do so. I end by noting that these theorems can guide our search for solutions to the problem.",1,0.4,10.48550/arXiv.2403.04471,https://doi.org/10.48550/arXiv.2403.04471,0.4900
Tve20,Performance of Bounded-Rational Agents With the Ability to Self-Modify,"Jakub Tvetek, Marek Sklenka, and Tom'avs Gavenvciak",2020,2020-11-12,ArXiv,abs/2011.06275,,"Self-modification of agents embedded in complex environments is hard to avoid, whether it happens via direct means (e.g. own code modification) or indirectly (e.g. influencing the operator, exploiting bugs or the environment). While it has been argued that intelligent agents have an incentive to avoid modifying their utility function so that their future instances will work towards the same goals, it is not clear whether this also applies in non-dualistic scenarios, where the agent is embedded in the environment. The problem of self-modification safety is raised by Bostrom in Superintelligence (2014) in the context of safe AGI deployment. In contrast to Everitt et al. (2016), who formally show that providing an option to self-modify is harmless for perfectly rational agents, we show that for agents with bounded rationality, self-modification may cause exponential deterioration in performance and gradual misalignment of a previously aligned agent. We investigate how the size of this effect depends on the type and magnitude of imperfections in the agent's rationality (1-4 below). We also discuss model assumptions and the wider problem and framing space. Specifically, we introduce several types of a bounded-rational agent, which either (1) doesn't always choose the optimal action, (2) is not perfectly aligned with human values, (3) has an innacurate model of the environment, or (4) uses the wrong temporal discounting factor. We show that while in the cases (2)-(4) the misalignment caused by the agent's imperfection does not worsen over time, with (1) the misalignment may grow exponentially.",2,0.4,,https://www.semanticscholar.org/paper/0a0c13346cfb924416114064f4913a725e7e6f22,0.4700
Bos12,The Superintelligent Will: Motivation and Instrumental Rationality in Advanced Artificial Agents,N. Bostrom,2012,2012-05-01,Minds and Machines,22,71 - 85,,245,17,10.1007/s11023-012-9281-3,https://doi.org/10.1007/s11023-012-9281-3,0.4500
